路段ID,路段长度(m),所属连通分量,风险扩散分数,是否为案发点所在分量,风险扩散分数(全网排序)
677,74.1,2,0.0005078737132424623,True,202
927,40.7,2,0.0005077259428919162,True,203
928,39.0,2,0.0005052477578055049,True,204
701,1617.9,2,0.0004832325939033236,True,205
667,298.2,2,0.0004781400616669553,True,206
491,40.9,134,0.0004608265473906886,True,207
492,40.9,134,0.00046014205736616545,True,208
704,337.0,2,0.00045702013659418083,True,209
1237,751.3,2,0.0004552375509429397,True,210
501,234.7,134,0.0004457850639554753,True,211
313,2835.2,2,0.0004448421570636411,True,212
314,2837.5,2,0.0004447652892878755,True,213
110,561.7,2,0.00043515283415353705,True,214
950,72.8,2,0.0004292319903631283,True,215
751,733.5,2,0.00042139982066535,True,216
412,436.4,2,0.0004021443698486119,True,217
437,603.5,2,0.0004012613920283398,True,218
438,603.8,2,0.00040125206097753704,True,219
415,446.8,2,0.00039504445650857047,True,220
65,615.6,2,0.0003927517111074639,True,221
64,616.6,2,0.0003927517111074639,True,221
543,162.1,2,0.00038964292364192856,True,223
574,333.1,2,0.00037981160387805365,True,224
380,887.6,2,0.0003475497340261495,True,225
381,887.2,2,0.0003475496049244143,True,226
572,358.3,2,0.0003361134302088035,True,227
929,358.1,2,0.0003286960998722626,True,228
692,96.1,2,0.00032418256750428793,True,229
581,738.2,2,0.00031227139721437536,True,230
582,718.1,2,0.00031206584563225876,True,231
1149,670.6,71,0.00030983582333901074,True,232
681,1077.9,2,0.00030276593395611517,True,233
509,53.1,138,0.00029607483350584427,True,234
510,53.3,138,0.0002960580947363207,True,235
600,2946.6,2,0.0002938892308648452,True,236
343,3272.4,2,0.0002878526634972353,True,237
342,3278.4,2,0.0002878526634972353,True,237
926,71.5,2,0.00028037035248205873,True,239
925,71.1,2,0.00028032590376897014,True,240
1235,34.2,2,0.0002783092448023638,True,241
156,470.9,2,0.0002736716456989029,True,242
163,471.8,2,0.0002735322001466182,True,243
451,422.3,2,0.00027070689156860823,True,244
309,645.8,2,0.00024983565242706816,True,245
310,645.7,2,0.0002497070557288816,True,246
660,61.8,2,0.00024600177645808715,True,247
153,669.0,2,0.0002408869520854678,True,248
142,1076.9,2,0.00024077029211826904,True,249
141,1081.4,2,0.00024072004434757716,True,250
808,75.3,2,0.000239019057668057,True,251
112,312.9,2,0.00023010534911696795,True,252
962,113.1,2,0.00021516199990166096,True,253
807,225.7,197,0.0002121839756412909,True,254
670,179.8,2,0.0002032929996638024,True,255
669,177.2,2,0.0002024960190008604,True,256
664,325.8,2,0.00019236042486261057,True,257
417,42.7,2,0.00018184030141929117,True,258
416,42.8,2,0.00018181645887352876,True,259
544,393.0,2,0.00016811633927143308,True,260
693,232.4,2,0.0001547379443375661,True,261
1238,1144.3,2,0.00015003608118602916,True,262
1019,26.2,2,0.00014421124367282372,True,263
54,122.6,2,0.00014382505988761308,True,264
40,104.4,2,0.00014171625499270654,True,265
560,591.0,2,0.00013553111244034028,True,266
601,2553.1,2,0.00013322518853200042,True,267
1116,213.8,2,0.00012282775845159547,True,268
1154,127.3,71,0.00012212892516039363,True,269
679,401.3,2,0.00011623434714449032,True,270
1021,535.4,2,0.0001144338643341238,True,271
662,220.8,2,0.00011181375077231154,True,272
672,194.2,2,0.00011045925228808801,True,273
1236,39.6,2,0.00010916091032465205,True,274
605,811.1,2,0.00010719645985330274,True,275
602,810.5,2,0.00010713325090996904,True,276
961,52.3,2,0.00010610462817938576,True,277
129,774.7,2,0.00010307477077152328,True,278
987,782.0,2,0.0001030444028446545,True,279
1020,656.1,2,0.00010114660232907787,True,280
573,121.1,2,0.00010012644349848304,True,281
671,273.5,2,9.771884599585805e-05,True,282
752,70.8,2,9.763980644072585e-05,True,283
